"","id","round","trial","action","potato"
"466",1,5,66,"up",0
"467",1,5,67,"right",0
"468",1,5,68,"up",0
"469",1,5,69,"right",0
"470",1,5,70,"up",1
"471",1,5,71,"right",0
"472",1,5,72,"up",0
"473",1,5,73,"right",0
"474",1,5,74,"up",0
"475",1,5,75,"left",0
"476",1,5,76,"left",1
"477",1,5,77,"up",1
"478",1,5,78,"left",1
"479",1,5,79,"up",0
"480",1,5,80,"left",0
"481",1,5,81,"up",0
"482",1,5,82,"left",0
"483",1,5,83,"left",0
"484",1,5,84,"down",0
"485",1,5,85,"left",0
"486",1,5,86,"down",0
"487",1,5,87,"left",0
"488",1,5,88,"up",0
"489",1,5,89,"left",1
"490",1,5,90,"up",0
"491",1,5,91,"left",0
"492",1,5,92,"up",0
"493",1,5,93,"left",0
"494",1,5,94,"up",0
"495",1,5,95,"left",1
"496",1,5,96,"up",1
"497",1,5,97,"left",0
"498",1,5,98,"up",1
"499",1,5,99,"left",0
"500",1,5,100,"up",0
"501",2,1,1,"down",0
"502",2,1,2,"left",0
"503",2,1,3,"down",0
"504",2,1,4,"down",0
"505",2,1,5,"left",0
"506",2,1,6,"left",0
"507",2,1,7,"left",0
"508",2,1,8,"down",0
"509",2,1,9,"left",1
"510",2,1,10,"down",1
"511",2,1,11,"left",1
"512",2,1,12,"down",0
"513",2,1,13,"down",0
"514",2,1,14,"down",1
"515",2,1,15,"up",0
"516",2,1,16,"up",0
"517",2,1,17,"up",0
"518",2,1,18,"right",0
"519",2,1,19,"up",0
"520",2,1,20,"right",0
"521",2,1,21,"up",0
"522",2,1,22,"right",0
"523",2,1,23,"right",0
"524",2,1,24,"right",0
"525",2,1,25,"up",0
"526",2,1,26,"up",0
"527",2,1,27,"right",0
"528",2,1,28,"up",0
"529",2,1,29,"up",0
"530",2,1,30,"up",1
"531",2,1,31,"up",0
"532",2,1,32,"up",1
"533",2,1,33,"up",1
"534",2,1,34,"up",0
"535",2,1,35,"up",0
"536",2,1,36,"up",0
"537",2,1,37,"left",0
"538",2,1,38,"up",0
"539",2,1,39,"left",0
"540",2,1,40,"left",0
"541",2,1,41,"left",0
"542",2,1,42,"up",0
"543",2,1,43,"left",1
"544",2,1,44,"up",0
"545",2,1,45,"left",0
"546",2,1,46,"left",1
"547",2,1,47,"left",1
"548",2,1,48,"left",0
"549",2,1,49,"left",0
"550",2,1,50,"right",0
"551",2,1,51,"up",1
"552",2,1,52,"up",1
"553",2,1,53,"up",0
"554",2,1,54,"up",1
"555",2,1,55,"up",0
"556",2,1,56,"right",0
"557",2,1,57,"up",0
"558",2,1,58,"left",1
"559",2,1,59,"up",0
"560",2,1,60,"up",0
"561",2,1,61,"up",1
"562",2,1,62,"left",0
"563",2,1,63,"up",0
"564",2,1,64,"right",1
"565",2,1,65,"up",0
"566",2,1,66,"up",0
"567",2,1,67,"up",0
"568",2,1,68,"up",0
"569",2,1,69,"up",0
"570",2,1,70,"up",1
"571",2,1,71,"right",0
"572",2,1,72,"up",0
"573",2,1,73,"up",0
"574",2,1,74,"up",0
"575",2,1,75,"up",0
"576",2,1,76,"down",0
"577",2,1,77,"down",0
"578",2,1,78,"down",0
"579",2,1,79,"down",0
"580",2,1,80,"right",0
"581",2,1,81,"right",0
"582",2,1,82,"right",0
"583",2,1,83,"up",1
"584",2,1,84,"up",0
"585",2,1,85,"up",1
"586",2,1,86,"up",1
"587",2,1,87,"up",0
"588",2,1,88,"up",0
"589",2,1,89,"up",0
"590",2,1,90,"up",0
"591",2,1,91,"up",0
"592",2,1,92,"up",0
"593",2,1,93,"up",1
"594",2,1,94,"up",0
"595",2,1,95,"up",1
"596",2,1,96,"up",0
"597",2,1,97,"up",1
"598",2,1,98,"up",0
"599",2,1,99,"up",0
"600",2,1,100,"up",NA
"601",2,2,1,"down",1
"602",2,2,2,"right",0
"603",2,2,3,"left",0
"604",2,2,4,"left",0
"605",2,2,5,"right",0
"606",2,2,6,"down",1
"607",2,2,7,"down",0
"608",2,2,8,"down",0
"609",2,2,9,"down",1
"610",2,2,10,"down",0
"611",2,2,11,"down",1
"612",2,2,12,"up",0
"613",2,2,13,"up",0
"614",2,2,14,"down",0
"615",2,2,15,"down",0
"616",2,2,16,"down",0
"617",2,2,17,"up",0
"618",2,2,18,"right",1
"619",2,2,19,"right",0
"620",2,2,20,"right",0
"621",2,2,21,"right",0
"622",2,2,22,"right",0
"623",2,2,23,"right",1
"624",2,2,24,"right",0
"625",2,2,25,"right",0
"626",2,2,26,"right",0
"627",2,2,27,"right",0
"628",2,2,28,"right",0
"629",2,2,29,"left",0
"630",2,2,30,"left",0
"631",2,2,31,"left",0
"632",2,2,32,"right",0
"633",2,2,33,"down",0
"634",2,2,34,"down",0
"635",2,2,35,"down",0
"636",2,2,36,"left",0
"637",2,2,37,"down",0
"638",2,2,38,"left",0
"639",2,2,39,"down",0
"640",2,2,40,"right",0
"641",2,2,41,"right",0
"642",2,2,42,"right",0
"643",2,2,43,"down",0
"644",2,2,44,"up",0
"645",2,2,45,"right",0
"646",2,2,46,"right",0
"647",2,2,47,"right",0
"648",2,2,48,"right",0
"649",2,2,49,"right",0
"650",2,2,50,"right",1
"651",2,2,51,"right",0
"652",2,2,52,"left",0
"653",2,2,53,"down",0
"654",2,2,54,"down",0
"655",2,2,55,"down",1
"656",2,2,56,"down",0
"657",2,2,57,"down",0
"658",2,2,58,"left",0
"659",2,2,59,"down",0
"660",2,2,60,"left",0
"661",2,2,61,"left",0
"662",2,2,62,"left",0
"663",2,2,63,"down",0
"664",2,2,64,"right",0
"665",2,2,65,"right",0
"666",2,2,66,"right",0
"667",2,2,67,"right",1
"668",2,2,68,"right",0
"669",2,2,69,"left",0
"670",2,2,70,"down",0
"671",2,2,71,"down",1
"672",2,2,72,"down",0
"673",2,2,73,"down",1
"674",2,2,74,"down",0
"675",2,2,75,"down",0
"676",2,2,76,"down",1
"677",2,2,77,"down",0
"678",2,2,78,"down",0
"679",2,2,79,"down",1
"680",2,2,80,"right",1
"681",2,2,81,"down",0
"682",2,2,82,"right",0
"683",2,2,83,"left",0
"684",2,2,84,"down",0
"685",2,2,85,"down",0
"686",2,2,86,"down",1
"687",2,2,87,"left",0
"688",2,2,88,"down",1
"689",2,2,89,"down",0
"690",2,2,90,"down",0
"691",2,2,91,"down",0
"692",2,2,92,"right",0
"693",2,2,93,"right",0
"694",2,2,94,"right",1
"695",2,2,95,"right",0
"696",2,2,96,"right",0
"697",2,2,97,"right",0
"698",2,2,98,"left",0
"699",2,2,99,"left",0
"700",2,2,100,"left",0
"701",2,3,1,"left",0
"702",2,3,2,"left",0
"703",2,3,3,"left",1
"704",2,3,4,"left",0
"705",2,3,5,"right",0
"706",2,3,6,"down",0
"707",2,3,7,"down",1
"708",2,3,8,"down",0
"709",2,3,9,"down",0
"710",2,3,10,"down",1
"711",2,3,11,"right",0
"712",2,3,12,"left",0
"713",2,3,13,"down",1
"714",2,3,14,"down",1
"715",2,3,15,"down",0
"716",2,3,16,"down",0
"717",2,3,17,"down",0
"718",2,3,18,"down",0
"719",2,3,19,"down",0
"720",2,3,20,"down",0
"721",2,3,21,"right",1
"722",2,3,22,"right",0
"723",2,3,23,"down",0
"724",2,3,24,"left",0
"725",2,3,25,"left",0
"726",2,3,26,"left",0
"727",2,3,27,"left",1
"728",2,3,28,"left",0
"729",2,3,29,"right",0
"730",2,3,30,"down",0
"731",2,3,31,"down",0
"732",2,3,32,"down",0
"733",2,3,33,"up",0
"734",2,3,34,"up",0
"735",2,3,35,"up",0
"736",2,3,36,"left",0
"737",2,3,37,"left",0
"738",2,3,38,"left",0
"739",2,3,39,"left",1
"740",2,3,40,"left",0
"741",2,3,41,"left",0
"742",2,3,42,"left",1
"743",2,3,43,"left",0
"744",2,3,44,"right",0
"745",2,3,45,"down",1
"746",2,3,46,"down",0
"747",2,3,47,"down",0
"748",2,3,48,"down",0
"749",2,3,49,"down",1
"750",2,3,50,"down",0
"751",2,3,51,"down",0
"752",2,3,52,"down",0
"753",2,3,53,"down",0
"754",2,3,54,"down",0
"755",2,3,55,"down",0
"756",2,3,56,"down",1
"757",2,3,57,"down",0
"758",2,3,58,"down",0
"759",2,3,59,"down",0
"760",2,3,60,"down",0
"761",2,3,61,"down",0
"762",2,3,62,"down",0
"763",2,3,63,"down",0
"764",2,3,64,"down",0
"765",2,3,65,"down",0
"766",2,3,66,"down",0
"767",2,3,67,"right",1
"768",2,3,68,"right",0
"769",2,3,69,"right",1
"770",2,3,70,"down",1
"771",2,3,71,"up",0
"772",2,3,72,"right",1
"773",2,3,73,"right",1
"774",2,3,74,"right",0
"775",2,3,75,"right",0
"776",2,3,76,"right",0
"777",2,3,77,"right",1
"778",2,3,78,"right",1
"779",2,3,79,"left",0
"780",2,3,80,"left",0
"781",2,3,81,"left",0
"782",2,3,82,"left",0
"783",2,3,83,"left",0
"784",2,3,84,"left",0
"785",2,3,85,"down",1
"786",2,3,86,"right",0
"787",2,3,87,"down",0
"788",2,3,88,"left",0
"789",2,3,89,"left",0
"790",2,3,90,"down",1
"791",2,3,91,"down",1
"792",2,3,92,"left",0
"793",2,3,93,"right",0
"794",2,3,94,"down",0
"795",2,3,95,"down",0
"796",2,3,96,"down",0
"797",2,3,97,"down",1
"798",2,3,98,"left",1
"799",2,3,99,"left",1
"800",2,3,100,"down",1
"801",2,4,1,"up",0
